,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
160,tt_35,126,True,minmax,True,94,32,decision_tree,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
168,tt_35,126,True,minmax,True,94,32,random_forest,balanced_accuracy,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
195,descr_react,126,True,minmax,True,94,32,decision_tree,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
198,descr_react,126,True,minmax,True,94,32,decision_tree,balanced_accuracy,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
41,reduced,126,True,minmax,True,94,32,knn,recall,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'},,
65,reduced,126,True,minmax,True,94,32,mlp,precision,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
68,reduced,126,True,minmax,True,94,32,mlp,balanced_accuracy,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
74,tt_0,126,True,minmax,True,94,32,gaussian_nb,roc_auc,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__var_smoothing': 1e-08},,,,,
93,tt_0,126,True,minmax,True,94,32,decision_tree,balanced_accuracy,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__splitter': 'random'}
98,tt_0,126,True,minmax,True,94,32,random_forest,balanced_accuracy,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
133,tt_1,126,True,minmax,True,94,32,random_forest,balanced_accuracy,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
137,tt_1,126,True,minmax,True,94,32,mlp,f1,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
170,tt_35,126,True,minmax,True,94,32,mlp,precision,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
172,tt_35,126,True,minmax,True,94,32,mlp,f1,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
202,descr_react,126,True,minmax,True,94,32,random_forest,f1,0.84375,0.903846153846154,0.545454545454545,1,0.705882352941176,0.903846153846154,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
