,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
82,tt_0,126,False,minmax,True,94,32,ada,f1,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
88,tt_0,126,False,minmax,True,94,32,svm,balanced_accuracy,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__C': 1000, 'clf__kernel': 'linear'},,,,
92,tt_0,126,False,minmax,True,94,32,decision_tree,f1,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
93,tt_0,126,False,minmax,True,94,32,decision_tree,balanced_accuracy,0.6875,0.551282051282051,0.25,0.333333333333333,0.285714285714286,0.551282051282051,{'clf__criterion': 'gini', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
100,tt_0,126,False,minmax,True,94,32,mlp,precision,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'adam'},
111,tt_35,126,False,minmax,True,94,32,knn,recall,0.5,0.628205128205128,0.25,0.833333333333333,0.384615384615385,0.628205128205128,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 4, 'clf__weights': 'distance'},,
115,tt_35,126,False,minmax,True,94,32,ada,precision,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
121,tt_35,126,False,minmax,True,94,32,svm,recall,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__C': 0.1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
122,tt_35,126,False,minmax,True,94,32,svm,f1,0.5625,0.602564102564102,0.25,0.666666666666667,0.363636363636364,0.602564102564102,{'clf__C': 0.01, 'clf__gamma': 1e-05, 'clf__kernel': 'rbf'},,,
135,tt_35,126,False,minmax,True,94,32,mlp,precision,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
136,tt_35,126,False,minmax,True,94,32,mlp,recall,0.625,0.576923076923077,0.25,0.5,0.333333333333333,0.576923076923077,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
3,all_columns,126,False,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.53125,0.583333333333333,0.235294117647059,0.666666666666667,0.347826086956522,0.583333333333333,{'clf__var_smoothing': 2e-09},,,,,
51,reduced,126,False,minmax,True,94,32,svm,recall,0.53125,0.583333333333333,0.235294117647059,0.666666666666667,0.347826086956522,0.583333333333333,{'clf__C': 0.001, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
78,tt_0,126,False,minmax,True,94,32,knn,balanced_accuracy,0.53125,0.583333333333333,0.235294117647059,0.666666666666667,0.347826086956522,0.583333333333333,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 4, 'clf__weights': 'uniform'},,
44,reduced,126,False,minmax,True,94,32,knn,roc_auc,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'},,
