,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
90,tt_0,122,True,minmax,True,91,31,decision_tree,precision,0.81043956043956,0.325940438460745,0.838709677419355,0.773333333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.773333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
122,tt_35,122,True,minmax,True,91,31,svm,f1,0.703596403596404,0.185931880271065,0.838709677419355,0.773333333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.773333333333333,{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
160,tt_wilcoxon,122,True,minmax,True,91,31,decision_tree,precision,0.81043956043956,0.207485797675815,0.838709677419355,0.773333333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.773333333333333,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
165,tt_wilcoxon,122,True,minmax,True,91,31,random_forest,precision,0.789377289377289,0.216582351635084,0.838709677419355,0.773333333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.773333333333333,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
235,tt_wilcoxon_premed,122,True,minmax,True,91,31,random_forest,precision,0.797802197802198,0.199987923799162,0.838709677419355,0.773333333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.773333333333333,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
1,all_columns,122,True,minmax,True,91,31,gaussian_nb,recall,0.54029304029304,0.362581858334193,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 2e-08},,,,,
2,all_columns,122,True,minmax,True,91,31,gaussian_nb,f1,0.47569573283859,0.293540609473702,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-08},,,,,
3,all_columns,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.696982841719684,0.187115779696427,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-09},,,,,
4,all_columns,122,True,minmax,True,91,31,gaussian_nb,roc_auc,0.827067669172932,0.173329503422271,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-08},,,,,
14,all_columns,122,True,minmax,True,91,31,ada,roc_auc,0.926836321573164,0.074743704606998,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
26,all_columns,122,True,minmax,True,91,31,random_forest,recall,0.856227106227106,0.148283799435064,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
37,reduced,122,True,minmax,True,91,31,gaussian_nb,f1,0.665163895933127,0.201669255136393,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-09},,,,,
39,reduced,122,True,minmax,True,91,31,gaussian_nb,roc_auc,0.870300751879699,0.142579102963413,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-08},,,,,
64,reduced,122,True,minmax,True,91,31,random_forest,roc_auc,0.91685945633314,0.085493033540165,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
65,reduced,122,True,minmax,True,91,31,mlp,precision,0.721978021978022,0.277271714952267,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
97,tt_0,122,True,minmax,True,91,31,random_forest,f1,0.76971916971917,0.175983512119636,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
101,tt_0,122,True,minmax,True,91,31,mlp,recall,0.873626373626374,0.124992452374476,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
105,tt_35,122,True,minmax,True,91,31,gaussian_nb,precision,0.48046398046398,0.35217155149228,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 5e-08},,,,,
107,tt_35,122,True,minmax,True,91,31,gaussian_nb,f1,0.570001427144284,0.364788743405493,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-08},,,,,
108,tt_35,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.78716020821284,0.233383537191957,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 2e-09},,,,,
109,tt_35,122,True,minmax,True,91,31,gaussian_nb,roc_auc,0.860323886639676,0.173024066961497,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 2e-09},,,,,
