,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
83,tt_clear,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
84,tt_clear,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
91,tt_clear,150,True,minmax,True,112,38,decision_tree,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__splitter': 'random'}
93,tt_clear,150,True,minmax,True,112,38,decision_tree,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
94,tt_clear,150,True,minmax,True,112,38,decision_tree,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
95,tt_clear,150,True,minmax,True,112,38,random_forest,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
98,tt_clear,150,True,minmax,True,112,38,random_forest,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
115,tt_all,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
116,tt_all,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
117,tt_all,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
118,tt_all,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
119,tt_all,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
131,tt_all,150,True,minmax,True,112,38,random_forest,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
133,tt_all,150,True,minmax,True,112,38,random_forest,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
150,descr_react,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
151,descr_react,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
152,descr_react,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
153,descr_react,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.1, 'clf__n_estimators': 10},,,
154,descr_react,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
161,descr_react,150,True,minmax,True,112,38,decision_tree,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
162,descr_react,150,True,minmax,True,112,38,decision_tree,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'best'}
166,descr_react,150,True,minmax,True,112,38,random_forest,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
66,reduced,150,True,minmax,True,112,38,mlp,recall,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
77,tt_clear,150,True,minmax,True,112,38,knn,f1,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'},,
79,tt_clear,150,True,minmax,True,112,38,knn,roc_auc,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__algorithm': 'auto', 'clf__n_neighbors': 7, 'clf__p': 4, 'clf__weights': 'distance'},,
87,tt_clear,150,True,minmax,True,112,38,svm,f1,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'},,,
101,tt_clear,150,True,minmax,True,112,38,mlp,recall,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
111,tt_all,150,True,minmax,True,112,38,knn,recall,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'},,
126,tt_all,150,True,minmax,True,112,38,decision_tree,recall,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
158,descr_react,150,True,minmax,True,112,38,svm,balanced_accuracy,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
173,descr_react,150,True,minmax,True,112,38,mlp,balanced_accuracy,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
31,all_columns,150,True,minmax,True,112,38,mlp,recall,0.81578947368421,0.755208333333333,0.444444444444444,0.666666666666667,0.533333333333333,0.755208333333333,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
