subject,subject_card,card,lower_mean,lower_descr,,ppre,rpre,dpre,pple,rple,dple,,threshold,10.00
22.00,pig,minion,TRUE,TRUE,,53.58,45.04,0.00,46.88,44.44,0.00,,,
22.00,pig,pig,FALSE,FALSE,,40.86,44.06,24.46,37.87,44.35,23.45,,,
22.00,pig,hedge,FALSE,FALSE,,37.43,34.37,11.02,36.84,34.02,11.28,,,
22.00,pig,aliens,FALSE,FALSE,,68.69,31.58,66.65,68.45,29.88,63.61,,,
24.00,pig,unicorn,FALSE,FALSE,,60.13,95.08,70.75,60.13,95.92,69.26,,,
24.00,pig,pepper,FALSE,FALSE,,74.09,80.40,100.22,73.04,80.66,100.22,,,
24.00,pig,minion,TRUE,FALSE,,0.00,1.10,24.07,0.00,0.00,23.67,,,
24.00,pig,pig,FALSE,FALSE,,91.74,70.81,87.50,91.74,71.75,90.12,,,
24.00,pig,hedge,FALSE,FALSE,,96.88,95.79,92.86,98.61,97.31,95.50,,,
24.00,pig,aliens,TRUE,TRUE,,63.35,34.42,0.00,63.94,34.42,0.00,,,
25.00,unicorn,unicorn,FALSE,FALSE,,98.44,54.80,91.74,98.44,56.86,92.51,,,
25.00,unicorn,pepper,FALSE,FALSE,,89.39,48.71,91.94,92.22,72.29,95.95,,,
25.00,unicorn,minion,FALSE,FALSE,,90.57,68.00,81.04,92.65,83.16,85.68,,,
25.00,unicorn,pig,FALSE,FALSE,,95.18,24.10,89.87,95.42,42.42,90.46,,,
25.00,unicorn,hedge,FALSE,FALSE,,92.51,90.21,69.89,96.69,90.21,87.47,,,
25.00,unicorn,aliens,FALSE,FALSE,,71.19,88.87,77.60,71.19,94.28,83.65,,,
26.00,aliens,unicorn,TRUE,FALSE,,52.17,2.58,31.84,52.17,1.29,26.17,,,
26.00,aliens,pepper,FALSE,FALSE,,57.85,87.26,87.15,58.88,87.26,87.15,,,
26.00,aliens,minion,FALSE,FALSE,,89.33,31.44,89.51,74.86,33.19,89.51,,,
26.00,aliens,pig,FALSE,FALSE,,41.27,65.66,75.24,41.27,65.66,75.33,,,
26.00,aliens,hedge,TRUE,FALSE,,68.54,6.15,80.30,72.27,3.08,80.14,,,
26.00,aliens,aliens,TRUE,TRUE,,96.85,1.87,3.10,99.37,3.43,1.68,,,
27.00,pepper,unicorn,FALSE,FALSE,,95.79,86.74,70.30,96.05,86.36,60.91,,,
27.00,pepper,pepper,FALSE,FALSE,,78.31,56.28,97.87,74.07,49.22,97.84,,,
27.00,pepper,minion,FALSE,FALSE,,100.03,92.70,72.51,100.03,91.43,70.86,,,
27.00,pepper,pig,FALSE,FALSE,,97.28,60.31,97.68,98.45,53.61,97.31,,,
27.00,pepper,hedge,FALSE,FALSE,,97.04,99.82,97.41,97.78,99.82,96.77,,,
27.00,pepper,aliens,FALSE,FALSE,,86.51,64.94,86.96,87.39,54.59,84.09,,,
