subject,card_class,rt_right_mean,rt_left_mean,rt_mean_pupil,label
8,minion,0.041766780483421515,0.10759826459319353,0.07468252253830752,0
8,unicorn,-0.041532449174739305,0.03796649292628439,-0.0017829781242274592,0
8,pig,0.01373892124588486,0.08540669371196749,0.04957280747892617,0
8,pepper,-0.06390912787275249,-0.02402607243770881,-0.04396760015523065,0
8,hedge,0.0007155189056508284,0.09933092501991116,0.050023221962780993,0
9,unicorn,0.04628321489315815,0.06714107423786338,0.05671214456551076,0
9,aliens,0.12398914329024523,0.1530911555302097,0.13854014941022746,0
9,minion,0.014722500363219438,0.049599408765615235,0.03216095456441734,1
9,pepper,0.13530789231611803,0.15082586207314436,0.14306687719463118,0
9,pig,0.07943234872435853,0.0928547033963216,0.08614352606034006,0
9,hedge,0.15192829612304248,0.18479051671000005,0.16835940641652125,0
10,unicorn,0.16917795284389348,0.13443351207507165,0.15180573245948256,0
10,aliens,-0.00663463387401891,-0.04832547169811311,-0.02748005278606601,0
10,pepper,0.07081196172248831,0.026914365144471913,0.048863163433480114,0
10,minion,0.04057241739584721,-0.010700470235936713,0.014935973579955249,0
10,hedge,-0.00924166458801005,-0.10498427672955964,-0.057112970658784845,0
10,pig,0.16809418206904506,0.05191140502322531,0.11000279354613518,1
11,minion,0.23066699607684354,0.19640298381149288,0.2135349899441682,0
11,unicorn,0.18425984262895656,0.10459259892804208,0.14442622077849931,0
11,aliens,0.11482333710549454,0.15221581037478293,0.13351957374013873,0
11,pig,0.10972505700721438,0.03812520103687736,0.07392512902204587,1
11,pepper,0.037951804881849606,0.03567272835324194,0.036812266617545775,0
11,hedge,-0.04057611193031821,-0.05040572584300997,-0.045490918886664095,0
12,unicorn,0.4944413320883913,0.4119325640303966,0.45318694805939397,1
12,pig,0.3721681839402431,0.1382239074738304,0.25519604570703674,0
12,hedge,0.21855058646149791,-0.027230353661932816,0.09566011639978254,0
12,aliens,0.19020316987554559,-0.09162239356352687,0.049290388156009356,0
12,minion,0.01445437329861562,-0.3377397536394179,-0.16164269017040114,0
12,pepper,0.18582500062339513,-0.06708815789473706,0.05936842136432904,0
13,minion,-0.026453656757088325,-0.09927763769600466,-0.06286564722654649,0
13,hedge,-0.17540830616859054,-0.23229062003179612,-0.20384946310019333,0
13,aliens,0.15990479093909785,0.10723378647036738,0.1335692887047326,1
13,pepper,-0.0946551025978664,-0.15454058069956994,-0.12459784164871818,0
13,pig,-0.23736516004965275,-0.260359416019793,-0.24886228803472288,0
13,unicorn,-0.17866612270072688,-0.23417246792246754,-0.2064192953115972,0
14,aliens,-0.21570176797006058,-0.1937975445794831,-0.20474965627477182,0
14,pig,0.17103290789137585,0.21124414140861497,0.19113852464999542,1
14,minion,-0.14685333970986766,-0.10689151107061569,-0.12687242539024168,0
14,pepper,-0.23482653328837427,-0.16266429002247493,-0.1987454116554246,0
14,hedge,-0.3029462221227716,-0.21743160083160096,-0.26018891147718626,0
14,unicorn,-0.2957093704042842,-0.2326853654415493,-0.26419736792291676,0
15,pepper,0.35512846517917557,0.11388071980625891,0.23450459249271724,0
15,hedge,0.26834333733493443,-0.11789384270561251,0.07522474731466096,0
15,minion,0.0951791443850272,-0.11773365321631139,-0.011277254415642098,0
15,aliens,0.4455012787723789,0.06972972409769047,0.2576155014350347,0
15,unicorn,0.4178609625668455,-0.01886037601354426,0.19950029327665064,0
15,pig,0.676134453781513,0.30826259080493335,0.4921985222932232,1
16,hedge,-0.05936438329759336,0.07259330759330739,0.006614462147857013,0
16,aliens,-0.19788549777958245,-0.14898920472196353,-0.17343735125077298,1
16,pig,-0.4526917726189473,-0.3873828828828831,-0.4200373277509152,0
16,pepper,-0.43888487664826675,-0.3492495495495497,-0.39406721309890824,0
16,unicorn,-0.4097891382466612,-0.3277679403541474,-0.3687785393004043,0
16,minion,-0.31325143563919117,-0.21633526383526402,-0.26479334973722757,0
17,pig,0.15361389071757764,0.14636666249530725,0.14999027660644243,0
17,pepper,0.3129236106144055,0.35551682357360087,0.3342202170940032,0
17,hedge,0.26581123380575633,0.34569741719040714,0.30575432549808174,0
17,unicorn,0.34811530304721533,0.4092512910930213,0.3786832970701183,1
17,aliens,0.15943683821718815,0.2887984523951977,0.22411764530619294,0
17,minion,0.24690152801358264,0.3281756621825246,0.28753859509805363,0
18,hedge,0.39772576893254036,0.24548598673701574,0.32160587783477806,0
18,aliens,0.5079087580963106,0.4481467967429717,0.4780277774196412,0
18,minion,,,,0
18,pig,,,,0
18,pepper,,,,0
18,unicorn,0.25422405660377345,0.2964620141342761,0.27534303536902477,1
19,pepper,-0.1775016407862245,-0.11940763965631006,-0.14845464022126728,0
19,unicorn,-0.3421225604346865,-0.27504380379512505,-0.30858318211490576,0
19,minion,-0.11243755407639687,-0.055845363536493275,-0.08414145880644508,0
19,aliens,-0.09359133192500971,-0.061398337438534616,-0.07749483468177217,1
19,pig,-0.19277511442372083,-0.11093958424614223,-0.15185734933493153,0
19,hedge,-0.6404419533672574,-0.5673058358806865,-0.6038738946239719,0
20,aliens,0.37543574380424805,0.2395461003957252,0.30749092209998663,0
20,hedge,0.16035626750700266,0.03091274351150726,0.09563450550925495,0
20,pig,0.06346638655462171,0.012201466101134798,0.037833926327878256,0
20,unicorn,0.35162863821025087,0.2431484177562908,0.29738852798327087,0
20,pepper,0.15968610973801273,0.11656720178532888,0.1381266557616708,0
20,minion,0.4162921655914489,0.430244308929923,0.42326823726068596,1
21,unicorn,0.444040194040194,0.3966434069381319,0.4203418004891629,0
21,aliens,0.009823326570314496,0.05254347890276641,0.031183402736540453,0
21,minion,0.23007194007194,0.12906259359089514,0.17956726683141758,0
21,hedge,0.1744442344442344,0.12974496963409596,0.1520946020391652,0
21,pig,-0.0024886280149438505,0.21671525465532096,0.10711331332018856,1
21,pepper,-0.6692931392931394,,,0
22,pepper,0.23418872287207584,0.05731184020281683,0.14575028153744635,0
22,pig,-0.007984316564121498,-0.24728410532036918,-0.12763421094224534,0
22,unicorn,0.2800216161420401,-0.0010159121119708407,0.13950285201503462,1
22,hedge,0.06853420195439702,-0.2003459471562916,-0.06590587260094728,0
22,aliens,0.020641120193390743,-0.21975471518384412,-0.0995567974952267,0
22,minion,0.12374546956003085,-0.15043456755228904,-0.013344548996129094,0
23,aliens,-0.8529617346938779,-0.36383772819472676,-0.6083997314443024,1
23,minion,-0.7965247268198622,-0.5582105468703307,-0.6773676368450965,0
23,unicorn,-0.8920803244374677,-0.6352823246379553,-0.7636813245377114,0
23,pepper,-0.7586396812868798,-0.4983492654062964,-0.628494473346588,0
23,pig,-0.9565627620911382,-0.7510329494526288,-0.8537978557718835,0
23,hedge,-1.0355361083890764,-0.7714168708928154,-0.903476489640946,0
24,pepper,-0.17415497779824624,-0.16913555600034996,-0.1716452668992981,1
24,hedge,-0.26200331140293376,-0.22152251322936364,-0.24176291231614871,0
24,pig,-0.36301953377485147,-0.3367953553585184,-0.34990744456668493,0
24,minion,-0.18401549629371403,-0.17862601696724384,-0.18132075663047892,0
24,aliens,-0.28309250010400383,-0.24050281357226896,-0.2617976568381364,0
24,unicorn,-0.3229150696641531,-0.2845982091185541,-0.3037566393913536,0
