subject,card_class,rt_right_mean,rt_left_mean,rt_mean_pupil,label
7,minion,0.0452690547595001,0.11708209636141087,0.08117557556045549,0
7,aliens,0.15522371154455036,0.2986999771309092,0.22696184433772976,1
8,aliens,0.24446115600037763,0.3244944653964833,0.2844778106984305,1
8,minion,0.0712230419286955,0.12319907120743027,0.09721105656806289,0
8,unicorn,0.04045280058688284,0.08939062160005797,0.0649217110934704,0
8,pig,0.01644599195295558,0.07485496957403645,0.04565048076349602,0
8,pepper,-0.0026851329607780533,0.030648493543758887,0.013981680291490417,0
8,hedge,-0.0011415824768837917,0.07137530820711512,0.03511686286511566,0
9,minion,0.44918958311213175,0.3657790419986491,0.4074843125553904,0
9,aliens,0.10026468452571466,0.07321048482459595,0.0867375846751553,0
9,hedge,0.21586459038591704,0.16166008438060028,0.18876233738325865,0
9,pig,0.35498003998231276,0.3187489045693253,0.33686447227581906,1
9,pepper,0.25704605756738425,0.18873473601088397,0.2228903967891341,0
9,unicorn,0.07045152283331461,0.00781798004255627,0.03913475143793544,0
10,unicorn,0.0398363845509928,0.05503408290413336,0.047435233727563086,0
10,aliens,0.11956169080957511,0.14774651044577256,0.13365410062767383,0
10,minion,0.004954394945126126,0.03800913202793996,0.02148176348653304,1
10,pepper,0.13542137978388927,0.15092359627320157,0.14317248802854543,0
10,pig,0.07948375266524522,0.09290023586782391,0.08619199426653457,0
10,hedge,0.15184741525539885,0.18468886871596782,0.16826814198568335,0
11,unicorn,0.15031199913363683,0.11825308197900668,0.13428254055632174,0
11,aliens,0.01857696661007383,-0.03449828874363782,-0.007960661066781996,0
11,pepper,-0.019765221878224708,-0.09554583969653668,-0.0576555307873807,0
11,minion,0.06138367451673632,-0.0017874728013810425,0.029798100857677638,0
11,hedge,0.012964802631579229,-0.0889325776776494,-0.03798388752303508,0
11,pig,0.1774537030797226,0.06281935709294209,0.12013653008633235,1
12,minion,0.1364628573075147,0.11041881325425643,0.12344083528088556,0
12,unicorn,0.11161633520639452,0.03907949045171834,0.07534791282905642,0
12,aliens,0.03188932407802356,0.056026463668358416,0.04395789387319099,0
12,pig,0.062165818523447595,0.002724085928350367,0.03244495222589898,1
12,pepper,-0.027533565251407873,-0.03753577945033628,-0.032534672350872075,0
12,hedge,-0.04057611193031821,-0.05040572584300997,-0.045490918886664095,0
13,unicorn,0.4995323553150077,0.34756192762407706,0.4235471414695424,1
13,pig,0.34907934294407456,0.08898646290699642,0.21903290292553548,0
13,hedge,0.2176629888596664,-0.07412219097361746,0.07177039894302448,0
13,aliens,0.2686006576543664,-0.009411875843454983,0.12959439090545571,0
13,minion,0.017612628384687606,-0.33534427677585593,-0.15886582419558415,0
13,pepper,0.1639992771302073,-0.09981089007616255,0.03209419352702237,0
14,minion,-0.01921310991463387,-0.09446780113446743,-0.05684045552455065,0
14,hedge,-0.16745889027390867,-0.2236408834207338,-0.19554988684732122,0
14,aliens,0.1749193492661539,0.11696676470870059,0.14594305698742724,1
14,pepper,-0.10395484466248858,-0.15699858544513295,-0.13047671505381075,0
14,pig,-0.2358191527579274,-0.2587356848373794,-0.24727741879765341,0
14,unicorn,-0.17887052002202236,-0.2343601104256838,-0.20661531522385307,0
15,aliens,-0.21311372966050326,-0.24860596966315388,-0.23085984966182857,0
15,pig,0.04709527286889643,0.07478228649761483,0.06093877968325563,1
15,minion,-0.21111336781012702,-0.18491009614401,-0.1980117319770685,0
15,pepper,-0.24987343169727985,-0.18687583649415723,-0.21837463409571856,0
