subject,source,card_class,show_order,duration,react_dur,point_dur,descr_dur,fix_freq,sacc_freq,right_mean,right_std,right_min,right_max,left_mean,left_std,left_min,left_max,react_fix_freq,react_sacc_freq,react_right_mean,react_right_std,react_right_min,react_right_max,react_left_mean,react_left_std,react_left_min,react_left_max,point_fix_freq,point_sacc_freq,point_right_mean,point_right_std,point_right_min,point_right_max,point_left_mean,point_left_std,point_left_min,point_left_max,descr_fix_freq,descr_sacc_freq,descr_right_mean,descr_right_std,descr_right_min,descr_right_max,descr_left_mean,descr_left_std,descr_left_min,descr_left_max,label
5,frontiers,aliens,1,38909,5568,9750,29159,1.4367816091954024,2.621501452106197,0.09118759694747385,0.20930166767044417,-0.7470362473347647,0.8729637526652354,0.12002627684405177,0.22113938218884227,-0.8147652582159606,0.6752347417840392,1.4367816091954024,2.1551724137931036,-0.33989931787418365,0.11237816516357846,-0.7470362473347647,0.04296375266523533,-0.2836587008389115,0.11645662272880829,-0.5447652582159606,-0.02476525821596054,0.8205128205128205,1.1282051282051282,-0.11617462853580891,0.13469002289138782,-0.45703624733476467,0.20296375266523548,-0.08988525821596072,0.15855775108082062,-0.4747652582159607,0.2952347417840393,1.474673342707226,2.7092835831132756,0.15999828719976988,0.15030869827667198,-0.6870362473347646,0.8729637526652354,0.18960458866272045,0.16986439719523627,-0.8147652582159606,0.6752347417840392,0
6,frontiers,unicorn,0,14447,3564,6814,7633,3.3670033670033668,3.9454558039731435,0.23045701878108388,0.2578717557030291,-0.7250789473684227,0.7949210526315778,0.19805238069982362,0.2190584775697048,-1.023254716981132,0.7267452830188681,3.3670033670033668,3.3670033670033668,0.4726830922916342,0.1355474171827661,-0.4050789473684224,0.7949210526315778,0.39663164665523193,0.14121365936515332,0.0367452830188677,0.7267452830188681,1.7610801291458762,2.348106838861168,0.23235855263157737,0.29835231298680576,-0.7250789473684227,0.7149210526315777,0.24994528301886781,0.20785257120859643,-1.023254716981132,0.5567452830188682,3.6682824577492466,3.7992925455260056,0.1148673613564097,0.1963983425116651,-0.6750789473684224,0.5549210526315775,0.08174528301886778,0.1733702636617585,-0.3332547169811324,0.4167452830188676,0
6,frontiers,pepper,2,13464,4502,6653,6811,3.331852509995558,2.8966131907308377,0.09643713226404294,0.21398821567139628,-0.4850789473684225,1.2149210526315777,0.022444289894345576,0.22207336413592182,-1.0032547169811319,0.8867452830188682,3.331852509995558,3.7760995113282987,0.230300199551009,0.1734414091688384,-0.11507894736842239,0.5749210526315771,0.1438266227317867,0.2203846606362712,-1.0032547169811319,0.8867452830188682,0.9018487900195401,0.7515406583496168,0.10875991519081905,0.1903003956321365,-0.3650789473684224,0.4649210526315777,-0.008894527407672345,0.23461608585285948,-0.5232547169811319,0.31674528301886795,2.202319776831596,2.4959624137424754,0.009179212868966096,0.1997006641084283,-0.4850789473684225,1.2149210526315777,-0.041756919624303786,0.18662589287716744,-0.373254716981132,0.4767452830188681,0
6,frontiers,minion,3,16357,2749,4787,11570,3.6376864314296107,3.056795255853763,0.061285824649066595,0.18246137086576344,-0.8350789473684226,0.7949210526315778,-0.0010574635479235028,0.170028960438596,-0.393254716981132,0.5867452830188684,3.6376864314296107,3.6376864314296107,0.039757416267941,0.15114004281285973,-0.3550789473684226,0.454921052631577,-0.09209108061749563,0.12266546454119902,-0.30325471698113216,0.2767452830188679,1.2533946104031752,1.2533946104031752,0.23923477812177352,0.2719588124565037,-0.6850789473684227,0.7949210526315778,0.17875508694043668,0.22594820432217314,-0.32325471698113173,0.5867452830188684,2.8522039757994815,2.9386343993085564,0.03420804015385906,0.14808991888961642,-0.8350789473684226,0.3449210526315776,-0.01142924948335818,0.1425592343086106,-0.393254716981132,0.37674528301886845,0
6,frontiers,pig,5,41988,5054,7035,34953,2.374356944994064,2.953224730875488,0.17346810285098274,0.18057127127151007,-0.9950789473684227,1.2949210526315778,0.05658964099552171,0.16260221259269642,-1.0132547169811321,0.6367452830188682,2.374356944994064,4.9465769687376335,0.4459896010186744,0.190982222819403,-0.295078947368423,0.8749210526315778,0.2174696290953269,0.23806655359870238,-1.0132547169811321,0.6367452830188682,0.9950248756218906,1.1371712864250176,0.0944641998396993,0.0775208623417452,-0.09507894736842282,0.454921052631577,-0.06721410784407619,0.11195643456471535,-0.5332547169811321,0.23674528301886788,2.37461734328956,2.632105970875175,0.13838247826959432,0.14557393614726571,-0.9950789473684227,1.2949210526315778,0.040332175938704175,0.1339811865642939,-0.9932547169811321,0.4667452830188683,1
6,frontiers,hedge,4,14367,2764,4834,9533,3.6179450072358903,3.0625739542005985,0.0759929849305894,0.34842661844700823,-0.4350789473684227,1.2749210526315773,-0.032011739453041914,0.30923397288426685,-0.853254716981132,0.7567452830188683,3.6179450072358903,5.065123010130247,0.3854338731443979,0.23755284400596907,-0.39507894736842264,0.9849210526315773,0.19036847142466512,0.21144160433122114,-0.853254716981132,0.6667452830188676,1.4480761274306992,1.4480761274306992,0.5559062743064541,0.2572994071680592,0.004921052631577716,0.9249210526315776,0.39812459336369577,0.24485612863115142,-0.4732547169811321,0.7567452830188683,2.097975453687192,2.412671771740271,-0.1171065482176794,0.19363744314094208,-0.4350789473684227,1.2749210526315773,-0.18936053708695225,0.19815213461191855,-0.583254716981132,0.6767452830188683,0
6,frontiers,aliens,1,19278,3944,6158,13120,3.8032454361054766,3.579209461562403,0.024974816072437518,0.20939652348391985,-1.0150789473684227,1.0549210526315775,-0.0403738156935783,0.20009743944167377,-0.9532547169811321,0.7967452830188684,3.8032454361054766,3.8032454361054766,0.2211028708133956,0.14230695323628412,-0.3050789473684228,0.5449210526315778,0.12956512636090461,0.18109870156884902,-0.9532547169811321,0.42674528301886827,1.2991230919129586,1.4615134784020785,0.15666633565044533,0.23364263882918812,-1.0150789473684227,0.5049210526315777,0.005195987244220033,0.23221034637613436,-0.7732547169811319,0.32674528301886774,2.5152439024390247,3.429878048780488,-0.05666913724184033,0.16731758178289946,-0.9950789473684227,1.0549210526315775,-0.09918852312770404,0.16558094468470225,-0.8232547169811322,0.7967452830188684,0
7,frontiers,unicorn,1,8672,1381,4190,4482,2.172338884866039,1.614391143911439,0.26114792317234675,0.15839044467932922,-0.16941908713693143,0.5505809128630688,0.1564490310782186,0.12273049856987195,-0.5926371308016769,0.4173628691983229,2.172338884866039,2.172338884866039,0.4050012027181409,0.0773183589868003,0.24058091286306826,0.5505809128630688,0.2459135938360042,0.1073812413081192,-0.5926371308016769,0.4073628691983231,1.431980906921241,2.1479713603818613,0.18925112562902593,0.152170878358099,-0.16941908713693143,0.500580912863068,0.10359237739504434,0.11367725570729356,-0.212637130801677,0.4173628691983229,0.44622936189201245,0.44622936189201245,0.15896800963726213,0.03729341120495629,0.06058091286306855,0.24058091286306826,0.11333061113380677,0.03868577395235838,-0.08263713080167712,0.1873628691983229,0
7,frontiers,pepper,4,7637,1337,3719,3918,2.9917726252804786,1.3094146916328402,0.050400732682888263,0.1351379663339969,-0.2494190871369315,0.34058091286306835,0.04915425241827765,0.1162274886048931,-0.2226371308016768,0.4173628691983229,2.9917726252804786,2.2438294689603593,0.0949092710720237,0.06917828944921126,-0.07941908713693158,0.21058091286306846,0.058482272183397625,0.08886638147258984,-0.1626371308016772,0.4173628691983229,1.3444474321054047,1.3444474321054047,0.06187961416176981,0.1604316241948087,-0.23941908713693172,0.34058091286306835,0.061748834110603716,0.13557861050304762,-0.2226371308016768,0.327362869198323,0.5104645227156712,0.5104645227156712,-0.0580440871369315,0.061700455448332366,-0.2494190871369315,0.07058091286306833,-0.0036371308016769632,0.0763502920008011,-0.14263713080167717,0.26736286919832297,0
7,frontiers,minion,0,13276,2170,6340,6936,2.7649769585253456,1.732449532991865,0.22222297928373227,0.16721574499907796,-0.20941908713693147,0.5905809128630688,0.19723383694025895,0.1377922320106468,-0.3626371308016769,0.537362869198323,2.7649769585253456,2.3041474654377883,0.29512172918959906,0.15387738497757017,-0.20941908713693147,0.5705809128630683,0.25188063569578484,0.12260936783419239,-0.2926371308016771,0.4573628691983229,0.9463722397476341,0.7886435331230284,0.20578474979352412,0.22829745943668003,-0.11941908713693161,0.5905809128630688,0.1935499195580353,0.1822445354387569,-0.07263713080167689,0.537362869198323,2.0184544405997693,1.8742791234140714,0.20644078547453343,0.07595108660565363,-0.14941908713693142,0.36058091286306837,0.17763887769089198,0.0804728594249886,-0.3626371308016769,0.34736286919832304,0
7,frontiers,pig,3,6796,736,3045,3751,4.076086956521739,1.0300176574455562,0.02552676123851971,0.19920970841437965,-0.3594190871369314,1.0205809128630685,-0.024050174279937844,0.16647084279829985,-0.5226371308016771,0.37736286919832285,4.076086956521739,2.717391304347826,0.1603069402603287,0.08161516407880555,0.020580912863068512,0.3005809128630683,0.12023958152709009,0.06729865963777505,-0.0026371308016770456,0.37736286919832285,1.6420361247947455,0.9852216748768473,-0.11428921700706146,0.14671227906154954,-0.3594190871369314,1.0205809128630685,-0.14963059485396446,0.10811230130675441,-0.5226371308016771,0.19736286919832313,0.5331911490269262,0.5331911490269262,0.2593809128630685,0.047192181988294675,0.1505809128630684,0.32058091286306833,0.149562869198323,0.04001479318288911,0.09736286919832304,0.34736286919832304,1
7,frontiers,hedge,5,6718,1001,3755,2963,3.9960039960039966,1.0419767788032153,-0.07743561606255134,0.0962037992844258,-0.6394190871369316,0.06058091286306855,-0.08470324650415638,0.09305660389376309,-0.6326371308016769,0.20736286919832292,3.9960039960039966,2.997002997002997,-0.04111908713693157,0.07605228132639735,-0.30941908713693156,0.06058091286306855,-0.040137130801677,0.11042960187240092,-0.4726371308016768,0.20736286919832292,1.0652463382157125,1.0652463382157125,-0.09586536812866703,0.10224743809049723,-0.6394190871369316,0.04058091286306853,-0.1018520068347348,0.08217860385351149,-0.6326371308016769,0.017362869198322972,0.3374957813027337,0.0,-0.03799051570836008,0.023934434249782078,-0.07941908713693158,0.0005809128630684945,-0.09930379746834368,0.035823642100341134,-0.17263713080167697,-0.05263713080167687,0
7,frontiers,aliens,2,9299,1297,3860,5439,2.3130300693909023,0.5376922249704269,0.008029366471315955,0.18917455653438114,-0.29941908713693133,0.34058091286306835,0.01580674674934352,0.1585028319537409,-0.28263713080167685,0.3173628691983228,2.3130300693909023,2.3130300693909023,0.17660241823941272,0.061822673921084106,-0.13941908713693163,0.34058091286306835,0.17066183827048798,0.049344065192882675,-0.022637130801677063,0.3173628691983228,0.5181347150259068,0.2590673575129534,-0.04703627463693146,0.18893972982767013,-0.29941908713693133,0.24058091286306826,-0.056660568301676824,0.14485362265939025,-0.28263713080167685,0.20736286919832292,0.36771465342893916,0.18385732671446958,-0.03249601021385462,0.15490495976147586,-0.2494190871369315,0.19058091286306844,0.10633722817268196,0.0809091391557244,-0.12263713080167715,0.22736286919832294,0
8,frontiers,unicorn,0,12532,2625,7702,4830,0.7619047619047619,1.1969358442387488,0.4308855666912582,0.18978952523798806,-0.10815126050421009,0.8218487394957896,0.3188967392774889,0.17258407470771397,-0.1664631578947473,0.8735368421052532,0.7619047619047619,0.7619047619047619,0.3028291316526526,0.10109905839246541,-0.048151260504210036,0.47184873949579,0.18667409700721352,0.05132212762847738,0.11353684210525294,0.3135368421052527,1.038691249026227,1.1685276551545054,0.2943114260629539,0.16348927769381438,-0.10815126050421009,0.8218487394957896,0.18949614443083407,0.15541614812138385,-0.1664631578947473,0.8735368421052532,0.8281573498964803,0.8281573498964803,0.5423396955681414,0.13566194190988995,-0.048151260504210036,0.7318487394957898,0.45272744262744585,0.05639819828733247,0.05353684210525289,0.5735368421052525,1
8,frontiers,pepper,5,9478,1500,4532,4946,0.0,1.4771048744460857,0.1288645214183148,0.12057806663266735,-0.4581512605042102,1.1018487394957899,-0.1292545248012221,0.19123964155407558,-0.8064631578947474,0.5235368421052526,0.0,0.0,,,,,,,,,0.6619593998234775,0.6619593998234775,0.05844356708199674,0.10318331339711137,-0.4581512605042102,0.24184873949579,-0.18801488203267844,0.2554890173875828,-0.5664631578947472,0.5235368421052526,1.819652244237768,2.2240194096239385,0.16399927713019805,0.11309945141454332,-0.3781512605042101,1.1018487394957899,-0.09981089007617273,0.1403498335955565,-0.8064631578947474,0.173536842105253,0
8,frontiers,minion,4,7718,1894,5037,2681,2.639915522703274,1.166105208603265,0.02541419910581766,0.1624122987377575,-0.54815126050421,1.09184873949579,-0.28403299029698176,0.16541422205383355,-0.8964631578947473,0.3535368421052527,2.639915522703274,2.639915522703274,0.033472671119721464,0.16404875886275114,-0.1281512605042101,1.09184873949579,-0.3402238416554308,0.15928031295825656,-0.8964631578947473,0.3535368421052527,0.7941234862021045,0.7941234862021045,0.030922813569863847,0.1612799792187892,-0.54815126050421,0.2518487394957898,-0.24961130604289553,0.16884641788845883,-0.7264631578947474,0.32353684210525246,0.37299515106303616,0.0,-0.05661279896574864,0.1469610100044854,-0.29815126050421004,0.3918487394957899,-0.3184631578947474,0.041231056256176644,-0.34646315789474746,-0.1464631578947473,0
8,frontiers,pig,1,14105,2289,5818,8287,0.436871996505024,1.347040056717476,0.35273704204636297,0.13771143415564358,-0.6181512605042103,0.6618487394957899,0.12255886853697077,0.1259364024758252,-0.4464631578947471,0.8135368421052527,0.436871996505024,0.0,0.1337535014005517,0.022049727349572334,0.09184873949578964,0.17184873949578972,-0.12360601503760439,0.029688862750677572,-0.1664631578947473,-0.06646315789474722,1.2031625988312136,1.5469233413544174,0.2965584169151451,0.10673021778411734,-0.17815126050421037,0.46184873949578975,0.09334266734797124,0.16320241146751926,-0.4464631578947471,0.8135368421052527,1.3273802341016048,1.2067093037287315,0.37975456353544396,0.13860328110039558,-0.6181512605042103,0.6618487394957899,0.13988919942535177,0.09992591001001941,-0.35646315789474725,0.3635368421052525,0
8,frontiers,hedge,2,10078,1805,4813,5265,0.554016620498615,1.885294701329629,0.10956441385787967,0.1924610285947213,-0.3681512605042103,0.7318487394957898,-0.13473145057767424,0.18950530347058708,-0.8564631578947473,0.3135368421052527,0.554016620498615,1.10803324099723,-0.1305957049486546,0.1201619797327066,-0.28815126050421025,0.4218487394957897,-0.2381298245614139,0.09766084399306722,-0.7164631578947471,-0.006463157894747162,1.246623727404945,1.4543943486391024,-0.03847268907563886,0.11934515276705324,-0.3681512605042103,0.3518487394957899,-0.2841969708443876,0.21377534939228096,-0.8564631578947473,0.3135368421052527,1.8993352326685662,1.8993352326685662,0.2487803068247082,0.10603717496590723,-0.3281512605042103,0.7318487394957898,-0.022215370284127813,0.08168736366856912,-0.4064631578947471,0.2935368421052531,0
8,frontiers,aliens,3,7834,1255,4743,3091,0.0,1.5317845289762575,0.20746812908286344,0.1277623644961266,-0.23815126050420998,0.6318487394957897,-0.013831578947378836,0.11038020417486191,-0.32646315789474745,0.4935368421052524,0.0,0.0,,,,,,,,,0.843348091924942,1.0541851149061774,0.1723097324035914,0.14007674651530536,-0.23815126050420998,0.5618487394957898,0.006930343910306864,0.10788497142359423,-0.24646315789474738,0.4935368421052524,2.2646392753154316,2.2646392753154316,0.24352146676851713,0.10209539237396893,-0.16815126050421014,0.6318487394957897,-0.03482082212832386,0.10908478654390845,-0.32646315789474745,0.12353684210525273,0
