subject,subject_card,card,whole_right,point_right,react_right,point_react_right,descr_right,whole_left,point_left,react_left,point_react_left,descr_left,whole_dur,point_dur,react_dur,point_react_dur,descr_dur,whole_exp,point_exp,react_exp,point_react_exp,descr_exp,whole_perc_right_exp,point_perc_right_exp,react_perc_right_exp,point_react_perc_right_exp,descr_perc_right_exp,whole_perc_left_exp,point_perc_left_exp,react_perc_left_exp,point_react_perc_left_exp,descr_perc_left_exp,whole_right_mean,point_right_mean,react_right_mean,point_right_react_mean,descr_right_mean,whole_left_mean,point_left_mean,react_left_mean,point_left_react_mean,descr_left_mean,whole_perc_right_mean,point_perc_right_mean,react_perc_right_mean,point_react_perc_right_mean,descr_perc_right_mean,whole_perc_left_mean,point_perc_left_mean,react_perc_left_mean,point_react_perc_left_mean,descr_perc_left_mean
2,minion,unicorn,834,305,409,714,120,838,309,402,711,127,11819,3220,5428,8648,3171,1181.9,322.0,542.8,864.8,317.1,70.5643455453084,94.72049689440993,75.3500368459838,82.56244218316374,37.842951750236516,70.90278365343937,95.96273291925466,74.06042741341194,82.21554116558742,40.05045726900031,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,59.428883102259135,21.733584347948483,29.14438032233092,50.87796467027941,8.550918431979731,113.01039732949295,41.67089829929991,54.21262497190473,95.88352327120464,17.126874058288312
2,minion,pepper,763,282,466,748,15,742,281,461,742,0,13789,2836,6114,8950,4839,1378.9,283.6,611.4,895.0,483.9,55.33396185365146,99.43582510578278,76.21851488387308,83.57541899441341,3.0998140111593306,53.811008775110594,99.08321579689702,75.40071965979719,82.90502793296089,0.0,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,54.36958969667113,20.09465831515237,33.20606657752129,53.30072489267366,1.0688648039974664,100.06409882873959,37.894894569913504,62.16920425882607,100.06409882873959,0.0
2,minion,minion,900,294,503,797,103,859,293,484,777,82,12462,3150,6312,9462,3000,1246.2,315.0,631.2,946.2,300.0,72.21954742416948,93.33333333333333,79.68948035487959,84.23166349608961,34.333333333333336,68.92954581929064,93.01587301587301,76.67934093789607,82.11794546607483,27.333333333333332,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,64.131888239848,20.94975015835034,35.842599760715046,56.79234991906539,7.339538320782603,115.84240012653275,39.51318188250768,65.27092160796491,104.78410349047257,11.058296636060168
2,minion,pig,1007,328,529,857,150,1036,335,537,872,164,19557,3340,7949,11289,8268,1955.7,334.0,794.9,1128.9,826.8,51.490514905149055,98.20359281437125,66.54925147817336,75.9146071396935,18.1422351233672,52.97335992227846,100.2994011976048,67.5556673795446,77.24333421915138,19.83551040154814,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,71.75645717502991,23.3725103807446,37.69529875431065,61.06780913505525,10.688648039974664,139.71213798729679,45.17718747658728,72.41835723858915,117.59554471517643,22.116593272120337
2,minion,hedge,1436,350,703,1053,383,1474,350,698,1048,426,21806,3516,9903,13419,8387,2180.6,351.6,990.3,1341.9,838.7,65.85343483444923,99.54493742889646,70.98858931636877,78.47082494969818,45.66591152974841,67.59607447491517,99.54493742889646,70.48369181056245,78.09821894328937,50.79289376415882,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,102.32599056935744,24.940178759940885,50.094130480681265,75.03430924062215,27.29168132873531,198.77962489698402,47.200046617329996,94.13037868256096,141.33042529989095,57.44919959709307
2,minion,aliens,959,287,554,841,118,923,291,520,811,112,14450,2999,6903,9902,4548,1445.0,299.9,690.3,990.2,454.8,66.36678200692042,95.69856618872959,80.25496161089382,84.93233690163603,25.94547053649956,63.87543252595156,97.0323441147049,75.32956685499059,81.90264593011513,24.626209322779243,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,68.33608980223802,20.450946583151524,39.47674009430643,59.92768667745795,8.408403124780069,124.47326579370166,39.24346733040865,70.12578354574741,109.36925087615606,15.104014917545596
3,hedge,unicorn,650,338,131,469,181,659,341,134,475,184,7055,3833,1339,5172,1883,705.5,383.3,133.9,517.2,188.3,92.13323883770376,88.18158100704409,97.83420463032112,90.68058778035576,96.12320764737122,93.40892983699504,88.96425776154447,100.07468259895444,91.84068058778034,97.71640998406798,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,46.31747483989021,24.08508691674291,9.334752621577874,33.41983953832079,12.89763530156943,88.8709449166299,45.98633113288436,18.070874990634913,64.05720612351928,24.813738793110623
3,hedge,pepper,1271,285,224,509,762,1306,285,229,514,792,13782,2850,2290,5140,8642,1378.2,285.0,229.0,514.0,864.2,92.22173849949209,100.0,97.81659388646288,99.0272373540856,88.17403378847489,94.76128283268031,100.0,100.0,100.0,91.64545244156444,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,90.56847772538532,20.308431275951865,15.961714406362166,36.27014568231402,54.2983320430713,176.12360252066563,38.43432367411157,30.88231621533877,69.31663988945033,106.8069626312153
3,hedge,minion,768,257,131,388,380,783,261,131,392,391,8117,2686,1307,3993,4124,811.7,268.6,130.7,399.3,412.4,94.61623752617962,95.6813104988831,100.22953328232596,97.17004758327073,92.1435499515034,96.46421091536281,97.1705137751303,100.22953328232596,98.17180065113949,94.81086323957324,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,54.725877964670275,18.31321697515659,9.334752621577874,27.647969596734466,27.077908367935816,105.59324714676967,35.19774904892322,17.66630316248637,52.86405221140959,52.72919493536008
3,hedge,pig,2328,334,856,1190,1138,2346,334,862,1196,1150,24532,3365,8827,12192,12340,2453.2,336.5,882.7,1219.2,1234.0,94.89646176422633,99.25705794947994,96.97518975869491,97.60498687664042,92.22042139384116,95.63019729333116,99.25705794947994,97.65492239719043,98.0971128608924,93.19286871961103,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,165.8878175804068,23.800056302343584,60.99655148145542,84.796607783799,81.09120979660779,316.37516961216045,45.04233020053776,116.2469719546813,161.28930215521905,155.0858674569414
