subject	duration	card_class	show_order	fix_freq	sacc_freq	sr_fix_freq	sr_sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sr_pupil_diam_right_mean	sr_pupil_diam_right_std	sr_pupil_diam_right_min	sr_pupil_diam_right_max	sr_pupil_diam_left_mean	sr_pupil_diam_left_std	sr_pupil_diam_left_min	sr_pupil_diam_left_max	label
12	1585	aliens	2	144.4794952681388	6.94006309148265	152.66666666666666	7.333333333333333	3.601097560975608	0.14784047206080914	3.35	3.78	3.532560975609755	0.1202447193533661	3.32	3.69	3.601097560975608	0.14784047206080914	3.35	3.78	3.532560975609755	0.1202447193533661	3.32	3.69	0
13	2715	unicorn	6	170.1657458563536	6.629834254143646	308.0	12.0	3.084390243902438	0.08503478264841306	2.65	3.2	3.60914634146342	0.13128623923435348	3.35	3.76	3.098609271523177	0.062482421368993575	2.78	3.2	3.6286092715231817	0.11787020960983223	3.38	3.76	1
13	3029	pepper	3	188.51105975569496	1.9808517662594916	380.6666666666667	4.0	3.0669035532994937	0.06881694023145647	2.63	3.14	3.666040609137062	0.08407090287270116	3.37	3.75	3.0913333333333317	0.024866534117477242	3.02	3.14	3.7030000000000025	0.031574987977381966	3.61	3.75	0
13	2644	minion	4	169.44024205748863	7.94251134644478	298.6666666666667	14.0	3.049250000000001	0.1386845205003611	2.7	3.24	3.5419999999999994	0.2143816616582349	3.06	3.79	3.0702000000000007	0.11581905582103137	2.74	3.24	3.5727999999999995	0.18369846901043704	3.11	3.79	0
13	3282	pig	5	180.9872029250457	7.007921998781231	396.0	15.333333333333334	3.181527777777777	0.10926809005320802	2.83	3.34	3.7550943396226435	0.17255671659411545	3.41	4.03	3.2245390070922015	0.09397169161359911	2.83	3.34	3.8624087591240883	0.07659601382890838	3.65	4.03	0
13	3859	hedge	1	253.69266649391034	15.029800466442083	652.6666666666666	38.666666666666664	3.2016997167138888	0.09993435586861038	2.9	3.45	3.8861473087818625	0.20094492927693353	3.36	4.37	3.228666666666665	0.03855905723503343	3.13	3.28	4.000933333333336	0.07681885488162642	3.84	4.14	0
13	3305	aliens	2	188.19969742813916	10.59001512859304	414.6666666666667	23.333333333333332	3.1879464285714363	0.13862643541927047	2.79	3.36	3.809955357142852	0.17748491445490414	3.45	4.07	3.259536423841059	0.06110469429151214	3.09	3.36	3.9064238410596026	0.11329221433008782	3.73	4.07	0
14	5035	unicorn	4	156.30585898709037	16.881827209533267	524.6666666666666	0.0	3.9958223684210497	0.10314516682131308	3.27	4.2	4.256490066225165	0.14079602208353445	3.87	4.65	4.0338666666666665	0.07951857380146057	3.87	4.18	4.327400000000001	0.10859956616769739	4.09	4.59	0
14	4544	pepper	2	107.83450704225353	6.82218309859155	326.6666666666667	20.666666666666668	4.0011764705882324	0.12618771595699801	3.77	5.37	4.213459459459457	0.13630580121681696	3.39	4.43	3.9925675675675683	0.13484242061296622	3.81	5.37	4.220890410958901	0.14768522552527263	3.39	4.43	0
14	6033	minion	6	152.99187800430963	12.59738107077739	615.3333333333334	50.666666666666664	4.334809384164229	0.11661036945580631	4.05	4.56	4.395190615835777	0.12736137342652296	4.03	4.74	4.376999999999999	0.09489485527175318	4.17	4.56	4.368466666666669	0.12739905421807474	4.03	4.63	0
14	6108	pig	3	156.35232481990832	9.986902423051736	636.6666666666666	40.666666666666664	3.926599999999998	0.14686849662490462	3.65	4.37	4.012428571428574	0.2176327162476599	3.64	4.63	4.004933333333335	0.15851130701593988	3.78	4.37	4.0975333333333355	0.2789576395319617	3.69	4.63	0
14	3882	hedge	1	117.98042246264812	26.275115919629055	305.3333333333333	68.0	4.245183246073296	0.19981792483721184	3.63	4.61	4.324840425531914	0.3799246703604296	3.82	7.8	4.32723076923077	0.10878479847501057	4.12	4.61	4.378692307692308	0.19937261465721276	4.02	4.76	0
14	4564	aliens	5	108.8957055214724	16.432953549517965	331.3333333333333	50.0	4.17271794871795	0.168905809889202	3.9	4.5	4.337076923076922	0.12635724690793892	4.12	4.65	4.209600000000005	0.17013567424560527	3.9	4.5	4.373999999999998	0.11435256913211048	4.15	4.65	1
15	7337	unicorn	3	267.13915769388035	5.042933078915088	1306.6666666666667	24.666666666666668	3.6605635838150414	0.10214543845267474	3.13	3.81	3.7467103347889297	0.14713277831849256	3.29	6.32	3.6584	0.06130657912732783	3.51	3.76	3.730733333333332	0.05675919541344907	3.62	3.84	0
15	6986	pepper	4	283.99656455768684	6.012024048096192	1322.6666666666667	0.0	3.5456976744186073	0.13402657363373394	3.29	3.92	3.6354730713245833	0.13223367674326808	3.43	3.96	3.3935810810810816	0.05363025513168835	3.29	3.52	3.49439189189189	0.0390050816740126	3.43	3.6	0
15	8300	minion	5	279.7590361445783	9.518072289156626	1548.0	52.666666666666664	3.480886998784939	0.11955133323577508	3.23	3.75	3.629268292682909	0.09787710626672307	3.4	3.85	3.529866666666662	0.04328749942262752	3.45	3.6	3.6537333333333377	0.04553259274670334	3.49	3.74	0
15	9537	pig	1	277.6554472056202	13.631120897556883	1765.3333333333333	86.66666666666667	3.51022035676809	0.15410985156657786	3.15	3.97	3.645284810126578	0.1425778029188987	3.2	5.35	3.279399999999999	0.06128632329336446	3.15	3.42	3.4375333333333327	0.0484932246933869	3.35	3.55	1
15	5918	hedge	2	248.3947279486313	13.856032443393039	980.0	54.666666666666664	3.4229499072356293	0.10174873972800218	2.95	3.68	3.5297363465159934	0.08364528754967834	3.31	3.69	3.335133333333334	0.0754115034632392	3.16	3.47	3.4612666666666665	0.08609575336335448	3.31	3.6	0
15	9246	aliens	6	257.73307376162666	19.035258490157904	1588.6666666666667	117.33333333333333	3.4564302059496543	0.12144067531246282	3.25	5.06	3.535057603686629	0.1161179903436515	2.73	3.9	3.5848648648648638	0.06450741123361912	3.45	3.72	3.6630405405405404	0.04919292554336809	3.44	3.8	0
16	3789	unicorn	3	141.9899709685933	10.556875164951174	358.6666666666667	0.0	4.8759562841530055	0.16304128194075837	4.1	5.3	5.056599999999997	0.12886610245448227	4.31	5.23	4.930078740157478	0.05632242868523494	4.76	5.04	5.108066666666664	0.057529644143322116	4.99	5.23	0
