,col_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
58,tt,150,True,minmax,True,112,38,random_forest,balanced_accuracy,0.763157894736842,0.723958333333333,0.363636363636364,0.666666666666667,0.470588235294118,0.723958333333333,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}
59,tt,150,True,minmax,True,112,38,random_forest,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
60,tt2,150,True,minmax,True,112,38,svm,precision,0.81578947368421,0.822916666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.822916666666667,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
61,tt3,150,True,minmax,True,112,38,svm,recall,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
62,tt4,150,True,minmax,True,112,38,svm,f1,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
63,tt5,150,True,minmax,True,112,38,svm,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 50, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
64,tt6,150,True,minmax,True,112,38,svm,roc_auc,0.789473684210526,0.875,0.428571428571429,1,0.6,0.875,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
65,tt7,150,True,minmax,True,112,38,decision_tree,precision,0.81578947368421,0.755208333333333,0.444444444444444,0.666666666666667,0.533333333333333,0.755208333333333,{'clf__criterion': 'gini', 'clf__max_depth': 6, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
66,tt8,150,True,minmax,True,112,38,decision_tree,recall,0.657894736842105,0.729166666666667,0.294117647058824,0.833333333333333,0.434782608695652,0.729166666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
67,tt9,150,True,minmax,True,112,38,decision_tree,f1,0.710526315789474,0.557291666666667,0.222222222222222,0.333333333333333,0.266666666666667,0.557291666666667,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
68,tt10,150,True,minmax,True,112,38,decision_tree,balanced_accuracy,0.578947368421053,0.614583333333333,0.222222222222222,0.666666666666667,0.333333333333333,0.614583333333333,{'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
69,tt11,150,True,minmax,True,112,38,decision_tree,roc_auc,0.842105263157895,0.90625,0.5,1,0.666666666666667,0.90625,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
70,tt12,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
71,tt13,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
72,tt14,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.1, 'clf__n_estimators': 50},,,
73,tt15,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
74,tt16,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
75,tt17,150,True,minmax,True,112,38,random_forest,precision,0.842105263157895,0.770833333333333,0.5,0.666666666666667,0.571428571428571,0.770833333333333,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
76,tt18,150,True,minmax,True,112,38,random_forest,recall,0.763157894736842,0.723958333333333,0.363636363636364,0.666666666666667,0.470588235294118,0.723958333333333,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
77,tt19,150,True,minmax,True,112,38,random_forest,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': False, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
78,tt20,150,True,minmax,True,112,38,random_forest,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
79,tt21,150,True,minmax,True,112,38,random_forest,roc_auc,0.763157894736842,0.723958333333333,0.363636363636364,0.666666666666667,0.470588235294118,0.723958333333333,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
